window,alpha,folds,mse
2,0.024522132399185402,64,4.111066127673888
2,0.024522132399185402,64,4.111066127673888
2,0.022985067481815197,64,4.111067526744472
2,0.022985067481815197,64,4.111067526744472
2,0.022985067481815197,64,4.111067526744472
2,0.022985067481815197,64,4.111067526744472
2,0.022985067481815197,64,4.111067526744472
2,0.021544346900318846,64,4.1110688502884445
2,0.021544346900318846,64,4.1110688502884445
2,0.021544346900318846,64,4.1110688502884445
2,0.021544346900318846,64,4.1110688502884445
2,0.020193931722345407,64,4.111070101678991
2,0.020193931722345407,64,4.111070101678991
2,0.020193931722345407,64,4.111070101678991
2,0.020193931722345407,64,4.111070101678991
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.018928161540172444,64,4.11107128422387
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.0177417307445096,64,4.111072401154878
2,0.01662966628547748,64,4.111073455619303
2,0.01662966628547748,64,4.111073455619303
2,0.01662966628547748,64,4.111073455619303
2,0.01662966628547748,64,4.111073455619303
2,0.01662966628547748,64,4.111073455619303
2,0.01662966628547748,64,4.111073455619303
2,2.2773496724789104,64,4.111073907711989
2,2.2773496724789104,64,4.111073907711989
2,2.2773496724789104,64,4.111073907711989
2,2.2773496724789104,64,4.111073907711989
2,2.2773496724789104,64,4.111073907711989
2,2.2773496724789104,64,4.111073907711989
2,0.015587306827544245,64,4.111074450673074
2,0.015587306827544245,64,4.111074450673074
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.0146102832110459,64,4.111075389275479
2,0.013694500138392414,64,4.1110762742852724
2,0.013694500138392414,64,4.1110762742852724
2,0.013694500138392414,64,4.1110762742852724
2,0.012836119008195774,64,4.1110771084579545
